# Sequoia 15.7.4 read_motu_regs, MOTU idle (no active IO), 48k/Internal, official driver loaded
# NOTE: 0x0b1c and 0x0b38 absent = write-only, no read response (see SEQUOIA_REGREAD_RESULT.md)
MOTU nodeID=0xffc0 gen=10
offset    raw         swapped(BE->host)
------------------------------------------
0x0b00    0x00002221  0x21220000
0x0b04    0x0100c1ff  0xffc10001
0x0b08    0x00000000  0x00000000
0x0b10    0x02000000  0x00000002
0x0b14    0x00010008  0x08000100
0x0b28    0x00181000  0x00101800
0x0b68    0x61000800  0x00080061
0x0c00    0x00000000  0x00000000
0x0c04    0x00010000  0x00000100
0x0c08    0x00000000  0x00000000
0x0c0c    0x80000000  0x00000080
0x0c10    0x67000000  0x00000067
0x0c14    0x00000000  0x00000000
0x0c18    0x00000000  0x00000000
0x0c1c    0x00000000  0x00000000
0x0c20    0x00000000  0x00000000
0x0c24    0x00000000  0x00000000
0x0c28    0x00000000  0x00000000
0x0c2c    0x00000000  0x00000000
0x0c30    0x00000000  0x00000000
0x0c34    0x00000000  0x00000000
0x0c38    0x00000000  0x00000000
0x0c3c    0x00000000  0x00000000
0x0c40    0x73657250  0x50726573
0x0c44    0x31207465  0x65742031
0x0c48    0x20202020  0x20202020
0x0c4c    0x20202020  0x20202020
0x0c50    0x00000000  0x00000000
0x0c54    0x00000000  0x00000000
0x0c58    0x00000000  0x00000000
0x0c5c    0x00000000  0x00000000
0x0c60    0x65746e49  0x496e7465
0x0c64    0x6c616e72  0x726e616c
0x0c68    0x20202020  0x20202020
0x0c6c    0x20202020  0x20202020
0x0c70    0x00000000  0x00000000
0x0c74    0x00000000  0x00000000
0x0c78    0x00000000  0x00000000
0x0c7c    0x00000000  0x00000000
0x0c80    0x00000000  0x00000000
0x0c84    0x00000000  0x00000000
0x0c88    0x00000000  0x00000000
0x0c8c    0x00000000  0x00000000
0x0c90    0x00000000  0x00000000
0x0c94    0x00000000  0x00000000
0x0c98    0x00000000  0x00000000

Gotowe. Skopiuj powyzsza tabele i przeslij.
